alpha_1,alpha_2,alpha_3,alpha_4,generated_data_size,train_roc,val_roc
0.18451901032700088,0.40289627854065685,0.25493215068462466,0.1576525604477177,10000.0,0.999967038123013,0.4998496993987976
0.5384029550087411,0.3916073448161179,0.04528773117405974,0.02470196900108109,10000.0,0.9999019919653713,0.9107214428857715
0.42189056480564524,0.06612800252089787,0.09764064875072569,0.4143407839227313,10000.0,0.9998168532269887,0.4998997995991984
0.5713808897967139,0.2831172703445931,0.030286804340764285,0.11521503551792879,10000.0,0.9997822791741783,0.45320641282565133
0.05732461757887663,0.22494067841914722,0.4262474385441315,0.29148726545784465,10000.0,0.9999908415563075,0.4998496993987976
0.471917433524085,0.3981636433164581,0.0047771448344940725,0.12514177832496295,10000.0,0.9999434218467109,0.9998196392785571
0.04664595517993105,0.03646009359955186,0.3460680891464533,0.5708258620740637,10000.0,0.999997790387301,0.4998997995991984
0.2872854295071768,0.0546658098384185,0.34086563792836105,0.3171831227260436,10000.0,0.9998540506890893,0.4998496993987976
0.5100038797919401,0.16810055184027856,0.15213810286384996,0.1697574655039313,10000.0,0.9997710355146273,0.28131262525050105
0.1520327280249298,0.3233442011150331,0.2233083621585469,0.3013147087014903,10000.0,0.9999839288528587,0.4998496993987976
0.3827870233836949,0.12091708551387316,0.38940103057614356,0.1068948605262883,10000.0,0.9997416254544771,0.2131763527054108
0.29968879744182014,0.04849009571027934,0.2096318486862763,0.4421892581616243,10000.0,0.999851511896119,0.4998496993987976
0.4235727912720157,0.35392686145521957,0.11556210124243599,0.10693824603032871,10000.0,0.9997931810018318,0.4998997995991984
0.4606546955480956,0.37390977375315804,0.006025472941753529,0.15941005775699274,10000.0,0.9998413613635602,0.9986923847695391
0.3412238589559482,0.4322868178855647,0.2021718790511717,0.024317444107315487,10000.0,0.9998436428758717,0.4998496993987976
0.5140431963198195,0.2681791047355834,0.13355463322483338,0.08422306571976373,10000.0,0.9997051704432294,0.2594689378757515
0.25494016024993943,0.20616466506348688,0.13172986795915928,0.40716530672741447,10000.0,0.999947162674945,0.4998496993987976
0.4574176492746316,0.4750767261870216,0.02998089928638827,0.03752472525195848,10000.0,0.9999457372082958,0.4998496993987976
0.5045945026180377,0.310222863319938,0.08137836042471125,0.10380427363731295,10000.0,0.9998127984353555,0.7572144288577155
0.3270651607008214,0.5055064384965756,0.0013914421404346779,0.16603695866216825,10000.0,0.9828969923640328,0.9989478957915832
0.20082279838043404,0.10674245550406429,0.35377260484119005,0.33866214127431166,10000.0,0.9999248936663938,0.4998997995991984
0.32600546994672547,0.28935583090365746,0.09748053011684994,0.28715816903276703,10000.0,0.9998493463741107,0.4998496993987976
0.4458478470650679,0.21223547322402805,0.275481105982018,0.06643557372888594,10000.0,0.9995537341166388,0.3782565130260521
0.09468760197733789,0.2509781472927066,0.31071975794699624,0.3436144927829592,10000.0,0.999985481086758,0.4998997995991984
